Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Images
simple,DEMO-01,Men's Cotton T-Shirt,1,1,visible,Soft combed-cotton crew-neck tee.,Soft 100% combed-cotton crew-neck tee with a relaxed everyday fit. Breathable and durable for the Sri Lankan climate.,taxable,1,100,2490,2990,Clothing,https://placehold.co/800x800/6366f1/ffffff.png?text=Men%27s+Cotton+T-Shirt
simple,DEMO-02,Women's Summer Dress,1,0,visible,Lightweight floral A-line dress.,"Lightweight floral summer dress in a flowy A-line cut. Comfortable, breezy, and easy to dress up or down.",taxable,1,100,4500,5500,Clothing,https://placehold.co/800x800/6366f1/ffffff.png?text=Women%27s+Summer+Dress
simple,DEMO-03,Unisex Fleece Hoodie,1,0,visible,Cosy brushed-fleece hoodie.,Cosy brushed-fleece hoodie with a kangaroo pocket and adjustable drawstring hood. A wardrobe staple for cooler evenings.,taxable,1,100,5900,,Clothing,https://placehold.co/800x800/6366f1/ffffff.png?text=Unisex+Fleece+Hoodie
simple,DEMO-04,Scented Candle Gift Set,1,1,visible,Set of three hand-poured soy candles.,"Set of three hand-poured soy candles in calming vanilla, sandalwood and jasmine. Beautifully boxed and ready to gift.",taxable,1,100,3200,3900,Gift Items,https://placehold.co/800x800/db2777/ffffff.png?text=Scented+Candle+Gift+Set
simple,DEMO-05,Wooden Photo Frame,1,0,visible,Handcrafted mahogany-finish frame.,"Handcrafted mahogany-finish photo frame that holds a 6x4 print. A warm, personal gift for any occasion.",taxable,1,100,1850,,Gift Items,https://placehold.co/800x800/db2777/ffffff.png?text=Wooden+Photo+Frame
simple,DEMO-06,Celebration Gift Hamper,1,0,visible,Curated hamper of treats and tea.,"A curated hamper of treats, tea and keepsakes presented in a reusable woven basket - perfect for birthdays and festivals.",taxable,1,100,7500,8900,Gift Items,https://placehold.co/800x800/db2777/ffffff.png?text=Celebration+Gift+Hamper
simple,DEMO-07,A5 Hardcover Notebook,1,0,visible,Premium 200-page A5 notebook.,"Premium 200-page A5 notebook with a sturdy hardcover, ribbon marker and elastic closure. Smooth, ink-friendly paper.",taxable,1,100,850,,Books & Stationery,https://placehold.co/800x800/0891b2/ffffff.png?text=A5+Hardcover+Notebook
simple,DEMO-08,Gel Pen Set (10 Colours),1,1,visible,Ten smooth-writing gel pens.,"Set of ten smooth-writing gel pens in vivid colours. Quick-drying ink that's great for notes, journaling and art.",taxable,1,100,650,900,Books & Stationery,https://placehold.co/800x800/0891b2/ffffff.png?text=Gel+Pen+Set+%2810+Colours%29
simple,DEMO-09,Bestselling Paperback Novel,1,0,visible,A gripping award-winning novel.,"A gripping, award-winning paperback novel. A page-turner that makes a thoughtful gift for any book lover.",taxable,1,100,1450,,Books & Stationery,https://placehold.co/800x800/0891b2/ffffff.png?text=Bestselling+Paperback+Novel
simple,DEMO-10,Red Raw Rice 5kg,1,0,visible,Traditional Sri Lankan red raw rice.,"Traditional Sri Lankan red raw rice, naturally rich in fibre and nutrients. Wholesome and full of authentic flavour.",taxable,1,100,1450,,Grocery,https://placehold.co/800x800/ca8a04/ffffff.png?text=Red+Raw+Rice+5kg
simple,DEMO-11,Pure Coconut Oil 1L,1,1,visible,Cold-pressed virgin coconut oil.,"Cold-pressed virgin coconut oil, perfect for cooking, baking and skincare. Pure, unrefined and naturally fragrant.",taxable,1,100,1250,1500,Grocery,https://placehold.co/800x800/ca8a04/ffffff.png?text=Pure+Coconut+Oil+1L
simple,DEMO-12,Mixed Spice Pack,1,0,visible,Everyday curry spice assortment.,"An everyday curry spice assortment featuring chilli, turmeric, coriander and curry powder - the heart of Sri Lankan cooking.",taxable,1,100,690,,Grocery,https://placehold.co/800x800/ca8a04/ffffff.png?text=Mixed+Spice+Pack
simple,DEMO-13,Herbal Face Wash,1,0,visible,Gentle aloe and neem cleanser.,"Gentle herbal face wash with aloe and neem that cleanses without drying. Leaves skin fresh, soft and balanced.",taxable,1,100,990,,Cosmetics,https://placehold.co/800x800/be185d/ffffff.png?text=Herbal+Face+Wash
simple,DEMO-14,Matte Lipstick,1,1,visible,Long-wearing creamy matte lipstick.,"Long-wearing matte lipstick with a creamy, non-drying formula and rich, true-to-tone colour payoff.",taxable,1,100,1450,1800,Cosmetics,https://placehold.co/800x800/be185d/ffffff.png?text=Matte+Lipstick
simple,DEMO-15,Aloe Vera Moisturizer,1,0,visible,Lightweight daily moisturizer.,Lightweight aloe vera daily moisturizer that hydrates and soothes. Absorbs quickly with a non-greasy finish.,taxable,1,100,1290,,Cosmetics,https://placehold.co/800x800/be185d/ffffff.png?text=Aloe+Vera+Moisturizer
simple,DEMO-16,Vitamin C Tablets,1,0,visible,"High-strength Vitamin C, 60 tablets.",High-strength Vitamin C tablets to support immunity and everyday wellbeing. A 60-tablet supply.,taxable,1,100,1750,,Health & Wellness,https://placehold.co/800x800/059669/ffffff.png?text=Vitamin+C+Tablets
simple,DEMO-17,Anti-Slip Yoga Mat,1,1,visible,Cushioned 6mm anti-slip mat.,Cushioned 6mm anti-slip yoga mat with excellent grip and comfort. Lightweight and easy to roll up and carry.,taxable,1,100,3500,3990,Health & Wellness,https://placehold.co/800x800/059669/ffffff.png?text=Anti-Slip+Yoga+Mat
simple,DEMO-18,Ayurvedic Herbal Supplement,1,0,visible,Traditional herbal vitality blend.,Traditional Ayurvedic herbal supplement blended from time-honoured botanicals to support natural vitality.,taxable,1,100,2200,,Health & Wellness,https://placehold.co/800x800/059669/ffffff.png?text=Ayurvedic+Herbal+Supplement
simple,DEMO-19,Building Blocks Set,1,1,visible,120-piece colourful blocks set.,120-piece colourful building blocks set that sparks creativity and fine-motor skills. Compatible with leading brands.,taxable,1,100,2900,3500,Toys & Games,https://placehold.co/800x800/ea580c/ffffff.png?text=Building+Blocks+Set
simple,DEMO-20,Family Board Game,1,0,visible,Fun strategy game for 2-6 players.,A fun strategy board game for 2-6 players. Quick to learn and endlessly replayable - great for family game night.,taxable,1,100,3200,,Toys & Games,https://placehold.co/800x800/ea580c/ffffff.png?text=Family+Board+Game
simple,DEMO-21,Soft Plush Teddy,1,0,visible,Huggably soft plush teddy bear.,"Huggably soft plush teddy bear made from child-safe materials. A timeless, comforting companion for little ones.",taxable,1,100,1900,,Toys & Games,https://placehold.co/800x800/ea580c/ffffff.png?text=Soft+Plush+Teddy
